OBJECTID,GR,Nome_Estado,Codigo_Municipio,Nome_municipio,Pop_Total,Leitos_UTI_Total,Leitos_UTI_100mil_hab_Ind,Leitos_UTI_SUS_Total,Leitos_UTI_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
4813,Nordeste,Ceará,2312601,São Luís do Curu,13000,0,0,0,0,0.00996508596705326,0.467548479344031
4814,Nordeste,Piauí,2210375,São Luis do Piauí,2644,0,0,0,0,0.0178253527058416,0.636320489483417
4815,Nordeste,Alagoas,2708501,São Luís do Quitunde,34555,0,0,0,0,0.0326962326487319,0.850532590794835
4816,Nordeste,Maranhão,2111409,São Luís Gonzaga do Maranhão,18856,0,0,0,0,0.0740717397328439,1.33773969634073
4817,Norte,Roraima,1400605,São Luiz,7986,0,0,0,0,0.124061480998694,2.10400153631186
4818,Centro-Oeste,Goiás,5220157,São Luiz do Norte,5167,0,0,0,0,0.0492274432755266,1.22940596542464
4819,Sudeste,São Paulo,3550001,São Luiz do Paraitinga,10687,0,0,0,0,0.0544662247531278,1.68042799074793
4820,Sul,Rio Grande do Sul,4318903,São Luiz Gonzaga,33468,0,0,0,0,0.119322013485544,3.03527708321
4821,Nordeste,Paraíba,2514909,São Mamede,7724,0,0,0,0,0.0434254631837234,1.09205464923305
4822,Sul,Paraná,4125555,São Manoel do Paraná,2160,0,0,0,0,0.00842376251455335,0.435290479603449
4823,Sudeste,São Paulo,3550100,São Manuel,40954,0,0,0,0,0.0571837523903014,1.48107722035109
4824,Sul,Rio Grande do Sul,4319000,São Marcos,21556,0,0,0,0,0.0237193941026135,0.923115199733108
4825,Sul,Santa Catarina,4217105,São Martinho,3180,0,0,0,0,0.0205627702649736,1.14829921908328
4826,Sul,Rio Grande do Sul,4319109,São Martinho,5426,0,0,0,0,0.0157097132897661,0.819423457127519
4827,Sul,Rio Grande do Sul,4319125,São Martinho da Serra,3234,0,0,0,0,0.0622790902332326,1.60105128411156
4828,Sudeste,Espírito Santo,3204906,São Mateus,130611,48,36.7503502767761,10,7.65632297432835,0.200940131548975,2.84942536792447
4829,Nordeste,Maranhão,2111508,São Mateus do Maranhão,41529,0,0,0,0,0.0637801530662188,1.78875815841069
4830,Sul,Paraná,4125605,São Mateus do Sul,46261,0,0,0,0,0.120871962994556,2.40706914447439
4831,Nordeste,Rio Grande do Norte,2412500,São Miguel,23519,0,0,0,0,0.0135824187594125,0.816632204771566
4832,Sudeste,São Paulo,3550209,São Miguel Arcanjo,32931,0,0,0,0,0.0824974469485369,1.7328623240885
4833,Nordeste,Piauí,2210383,São Miguel da Baixa Grande,2452,0,0,0,0,0.0363834324533201,1.02460406239375
4834,Sul,Santa Catarina,4217154,São Miguel da Boa Vista,1820,0,0,0,0,0.00647520595862261,0.547035252688093
4835,Nordeste,Bahia,2929404,São Miguel das Matas,11675,0,0,0,0,0.0192419415391498,0.889447344925068
4836,Sul,Rio Grande do Sul,4319158,São Miguel das Missões,7673,0,0,0,0,0.113490763927757,2.69071519453887
4837,Nordeste,Paraíba,2515005,São Miguel de Taipu,7368,0,0,0,0,0.00757571178711203,0.368202224785385
4838,Nordeste,Sergipe,2807006,São Miguel do Aleixo,3930,0,0,0,0,0.0119575543042458,0.850369499278944
4839,Sudeste,Minas Gerais,3163805,São Miguel do Anta,6938,0,0,0,0,0.0131906128485753,0.86811640090243
4840,Centro-Oeste,Goiás,5220207,São Miguel do Araguaia,21993,0,0,0,0,0.512625797046553,4.64513203048615
4841,Nordeste,Piauí,2210391,São Miguel do Fidalgo,3039,0,0,0,0,0.0666542301685809,1.27697435404182
4842,Nordeste,Rio Grande do Norte,2412559,São Miguel do Gostoso,10282,0,0,0,0,0.0280216810431,0.794393599058353
4843,Norte,Pará,1507607,São Miguel do Guamá,58986,0,0,0,0,0.0902248665520062,2.06273299863227
4844,Norte,Rondônia,1100320,São Miguel do Guaporé,23005,0,0,0,0,0.618417910268079,6.37679365447615
