OBJECTID,Codigo_Municipio,GR,Nome_Estado,Nome_municipio,Pop_Total,Total_Enfermeiros,Enfermeiros_SUS,Enfermeiros_100mil_hab_Ind,Enfermeiros_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
256,4101200,Sul,Paraná,Antonina,18980,10,10,52.6870389884089,52.6870389884089,1084179057.00977,177298.050295527
257,2300804,Nordeste,Ceará,Antonina do Norte,7353,5,5,67.999456004352,67.999456004352,265482346.419434,108491.96098781
258,2200806,Nordeste,Piauí,Antônio Almeida,3164,5,5,158.02781289507,158.02781289507,660365501.295166,120761.842543131
259,2901700,Nordeste,Bahia,Antônio Cardoso,11683,12,12,102.713344175297,102.713344175297,309554665.44873,92655.5036551861
260,3102902,Sudeste,Minas Gerais,Antônio Carlos,11445,12,12,104.849279161206,104.849279161206,614412992.880859,157934.099903451
261,4201208,Sul,Santa Catarina,Antônio Carlos,8513,7,6,82.2271819570069,70.4804416774345,298004594.521484,90698.9017260495
262,3103009,Sudeste,Minas Gerais,Antônio Dias,9318,12,12,128.783000643915,128.783000643915,891130666.416992,194435.356382491
263,2901809,Nordeste,Bahia,Antônio Gonçalves,11798,10,10,84.7601288353958,84.7601288353958,359627058.609375,132481.394801929
264,5000906,Centro-Oeste,Mato Grosso do Sul,Antônio João,8956,8,8,89.3255917820455,89.3255917820455,1342437197.03125,310432.843018666
265,2400901,Nordeste,Rio Grande do Norte,Antônio Martins,7145,6,6,83.9748075577327,83.9748075577327,249436501.877197,107482.78579507
266,4101309,Sul,Paraná,Antônio Olinto,7434,7,7,94.1619585687382,94.1619585687382,583354962.000977,179237.015591537
267,4300802,Sul,Rio Grande do Sul,Antônio Prado,13050,18,18,137.931034482759,137.931034482759,455028524.972656,134065.47238246
268,3103108,Sudeste,Minas Gerais,Antônio Prado de Minas,1598,2,2,125.156445556946,125.156445556946,96661262.5878906,55109.9516550709
269,2500775,Nordeste,Paraíba,Aparecida,8347,3,3,35.941056667066,35.941056667066,301859521.667725,89745.5697652535
270,3502507,Sudeste,São Paulo,Aparecida,36157,37,37,102.331498741599,102.331498741599,143380332.110352,73482.7260250238
271,3502606,Sudeste,São Paulo,Aparecida d'Oeste,4196,7,7,166.825548141087,166.825548141087,205008559.735352,77892.0230793862
272,5201405,Centro-Oeste,Goiás,Aparecida de Goiânia,578179,576,542,99.6231270938585,93.7425952862349,305666696.907227,114562.617555825
273,5201454,Centro-Oeste,Goiás,Aparecida do Rio Doce,2474,3,3,121.261115602264,121.261115602264,670971910.050781,143560.113425733
